    µm         	nm
0.000000e+000	-7.635037e+000
4.578910e-002	-8.025327e+000
9.157819e-002	-7.881002e+000
1.373673e-001	-8.094441e+000
1.831564e-001	-8.274340e+000
2.289455e-001	-8.000934e+000
2.747346e-001	-8.343454e+000
3.205237e-001	-8.360733e+000
3.663128e-001	-7.761069e+000
4.121019e-001	-7.941984e+000
4.578910e-001	-7.992803e+000
5.036800e-001	-8.011098e+000
5.494692e-001	-8.223521e+000
5.952583e-001	-7.916575e+000
6.410473e-001	-7.933853e+000
6.868365e-001	-8.147293e+000
7.326256e-001	-8.165587e+000
7.784146e-001	-8.216406e+000
8.242038e-001	-8.397322e+000
8.699928e-001	-8.285520e+000
9.157819e-001	-8.301782e+000
9.615710e-001	-4.581836e+000
1.007360e+000	1.868104e+000
1.053149e+000	2.825533e+000
1.098938e+000	5.864506e+000
1.144727e+000	4.870487e+000
1.190517e+000	3.681324e+000
1.236306e+000	4.477149e+000
1.282095e+000	3.646767e+000
1.327884e+000	3.270707e+000
1.373673e+000	1.301981e+000
1.419462e+000	4.014696e+000
1.465251e+000	4.809505e+000
1.511040e+000	3.979123e+000
1.556829e+000	1.977873e+000
1.602618e+000	3.260543e+000
1.648408e+000	2.721863e+000
1.694197e+000	1.403619e+000
1.739986e+000	2.977990e+000
1.785775e+000	2.635470e+000
1.831564e+000	2.292951e+000
1.877353e+000	1.916890e+000
1.923142e+000	1.898596e+000
1.968931e+000	2.986121e+000
2.014720e+000	1.342636e+000
2.060509e+000	1.941284e+000
2.106299e+000	1.762401e+000
2.152088e+000	2.069347e+000
2.197877e+000	2.506390e+000
2.243666e+000	1.674992e+000
2.289455e+000	2.599897e+000
2.335244e+000	4.045188e+000
2.381033e+000	2.693404e+000
2.426822e+000	3.977090e+000
2.472611e+000	3.309329e+000
2.518400e+000	3.094873e+000
2.564189e+000	3.077595e+000
2.609979e+000	1.888432e+000
2.655768e+000	2.196395e+000
2.701557e+000	1.593682e+000
