============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> PMMA(  1 um) ================================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .1980631E+07   1000111E-02  .8091E+01  .2974E+01   .9999954  .0025293  .0016988
T    2  1 .1984570E+07   1000125E-02  .4824E+01 -.7169E+01   .9999580  .0010811 -.0091063
T    3  1 .1982733E+07   1000156E-02  .1526E+02 -.3827E+01   .9999955  .0021784 -.0020825
T    4  1 .1981219E+07   1000031E-02  .7910E+00  .7202E+01   .9999882 -.0017112  .0045529
T    5  1 .1990961E+07   1000167E-02  .4534E+02 -.1192E+02   .9999702  .0068823 -.0034910
T    6  1 .1981145E+07   1000068E-02 -.4271E+01  .7810E+01   .9999983 -.0000546  .0018419
T    7  1 .1991287E+07   1000200E-02  .1326E+01 -.1269E+01   .9999988  .0002726 -.0014937
T    8  1 .1982443E+07   1000185E-02  .1393E+01  .1839E+02   .9999945  .0002854  .0033113
T    9  1 .1982876E+07   1000219E-02  .8424E+01  .5970E+01   .9999993  .0005806  .0010615
T   10  1 .1983526E+07   1000213E-02 -.1964E+02 -.2583E+02   .9999916 -.0023841 -.0033206
T   11  1 .1987169E+07   1000096E-02  .2902E+01  .2230E+01   .9999999  .0000938 -.0001037
T   12  1 .1981660E+07   1000202E-02  .9749E+00  .1647E+02   .9999957 -.0015989  .0024406
T   13  1 .1985170E+07   1000203E-02 -.1156E+02  .1211E+02   .9999952 -.0017378  .0025697
T   14  1 .1986709E+07   1000180E-02  .1161E+01  .2310E+02   .9999972  .0011644  .0020664
T   15  1 .1986503E+07   1000174E-02  .1540E+02 -.1898E+02   .9999937  .0017924 -.0030688
T   16  1 .1989698E+07   1000151E-02  .1810E+01 -.1384E+02   .9999826  .0033334 -.0048692
T   17  1 .1982565E+07   1000226E-02  .5058E+00  .1050E+02   .9999986  .0001111  .0016665
T   18  1 .1984862E+07   1000080E-02 -.4518E+02 -.4756E+02   .9999703 -.0068517 -.0035353
T   19  1 .1989059E+07   1000063E-02  .6424E+00 -.1776E+00   .9999998  .0006211 -.0002653
T   20  1 .1982557E+07   1000105E-02  .7185E+01  .3849E+01   .9999880  .0045312  .0018650
T   21  1 .1986268E+07   1000072E-02  .4828E+00  .1117E+02   .9999908  .0003318  .0042867
T   22  1 .1982773E+07   1000123E-02 -.2246E+01  .1020E+02   .9999990 -.0005410  .0013323
T   23  1 .1987404E+07   1000086E-02 -.6218E+01 -.1065E+02   .9999977 -.0009864 -.0018865
T   24  1 .1988382E+07   1000223E-02  .5945E+02  .4453E+02   .9999380  .0089391  .0066389
T   25  1 .1985310E+07   1000075E-02  .4270E+01  .2930E+01   .9999999  .0002774  .0001764
T   26  1 .1990425E+07   1000036E-02  .1284E+02  .9994E+01   .9999973  .0015485  .0017390
T   27  1 .1985830E+07   1000078E-02  .1026E+02 -.7110E+01   .9999898  .0020915 -.0040048
T   28  1 .1988773E+07   1000090E-02 -.1365E+00  .5938E+01   .9999992 -.0004561  .0011580
T   29  1 .1986258E+07   1000119E-02  .1062E+02  .7233E+01   .9999989  .0000537  .0015072
T   30  1 .1985098E+07   1000073E-02  .4489E+01  .5577E+00   .9999998  .0006799 -.0000457
T   31  1 .1984891E+07   1000133E-02 -.1543E+02 -.3176E+01   .9999893 -.0046213  .0001988
T   32  1 .1985962E+07   1000107E-02 -.9619E+01  .4909E+01   .9999989 -.0013863  .0005733
T   33  1 .1983818E+07   1000184E-02  .1183E+02 -.5695E+01   .9999939  .0034381 -.0006339
T   34  1 .1985251E+07   1000086E-02  .5873E+01 -.3306E+01   .9999995  .0005121 -.0008692
T   35  1 .1990842E+07   1000016E-02 -.5670E+01  .5789E+01   .9999995 -.0007618  .0006845
T   36  1 .1988393E+07   1000027E-02 -.5014E+01 -.1569E+01   .9999994 -.0007399  .0008479
T   37  1 .1982224E+07   1000063E-02  .1998E+00  .1171E+01   .9999994  .0010446 -.0002622
T   38  1 .1988579E+07   1000036E-02 -.6482E+00  .1726E+01   .9999999  .0000820  .0004322
T   39  1 .1988178E+07   1000044E-02  .8280E+01 -.1448E+02   .9999994  .0009661 -.0004569
T   40  1 .1987910E+07   1000098E-02  .3008E+00  .1101E+01   .9999996  .0002362  .0008169
T   41  1 .1985832E+07   1000109E-02  .5415E+01 -.1562E+02   .9999960  .0008947 -.0026908
T   42  1 .1981946E+07   1000217E-02 -.5147E+01  .3793E+01   .9999960 -.0019885  .0020221
T   43  1 .1987604E+07   1000080E-02 -.6052E+01 -.4567E+01   .9999995 -.0003778 -.0008905
T   44  1 .1985978E+07   1000059E-02 -.2432E+01 -.1765E+01   .9999679  .0048817 -.0063588
T   45  1 .1986678E+07   1000155E-02 -.5968E+01  .5418E+02   .9999663 -.0025950  .0077934
T   46  1 .1986586E+07   1000216E-02  .3663E+01  .1746E+01   .9999992  .0012425  .0002395
T   47  1 .1984774E+07   1000195E-02  .5765E+00 -.1195E+02   .9999961  .0010324 -.0025964
T   48  1 .1983709E+07   1000157E-02 -.6626E+01 -.9178E+01   .9999971 -.0015001 -.0018691
T   49  1 .1984581E+07   1000038E-02  .2494E+01  .1168E+01   .9999999 -.0000263  .0004526
T   50  1 .1984406E+07   1000034E-02  .9485E+00  .6440E+01   .9999983 -.0005787  .0017505
T   51  1 .1980879E+07   1000075E-02 -.7360E+01 -.7811E+00   .9999999  .0000740 -.0002507
T   52  1 .1986444E+07   1000134E-02  .2256E+01  .2035E+01   .9999979 -.0014356  .0014628
T   53  1 .1988619E+07   1000211E-02  .3628E+01  .6813E+00   .9999939  .0034811  .0002386
T   54  1 .1984504E+07   1000134E-02 -.4579E+01  .7390E+01   .9999834 -.0028304  .0050107
T   55  1 .1983089E+07   1000098E-02 -.3389E+00  .1795E+01   .9999994  .0010734 -.0002691
T   56  1 .1982546E+07   1000179E-02 -.1836E+02  .4715E+02   .9999905 -.0010540  .0042345
T   57  1 .1982608E+07   1000132E-02  .3901E+01 -.4840E+01   .9999967  .0016280 -.0019781
T   58  1 .1985272E+07   1000085E-02 -.2399E+01 -.2021E+01   .9999987 -.0012040 -.0011047
T   59  1 .1982753E+07   1000100E-02  .2214E+02 -.1642E+02   .9999724  .0060237 -.0043447
T   60  1 .1988285E+07   1000022E-02  .7197E+01 -.4206E+01   .9999982  .0019159  .0001458
T   61  1 .1987237E+07   1000199E-02 -.2158E+01  .1827E+02   .9999961 -.0002749  .0027895
T   62  1 .1980524E+07   1000087E-02  .9464E+01  .2596E+01   .9999990  .0009774  .0010682
T   63  1 .1990225E+07   1000184E-02 -.7325E+00  .1343E+02   .9999992 -.0002634  .0012443
T   64  1 .1985405E+07   1000119E-02 -.9700E+01 -.3732E+02   .9999862 -.0022563 -.0047445
T   65  1 .1984674E+07   1000164E-02  .7163E+01 -.7553E+01   .9999900  .0023596 -.0037888
T   66  1 .1982615E+07   1000219E-02 -.4337E+02 -.8092E+01   .9999867 -.0051458  .0004584
T   67  1 .1987399E+07   1000204E-02  .7585E+01 -.9743E+01   .9999917  .0038804 -.0012753
T   68  1 .1981213E+07   1000063E-02  .8751E+01  .2009E+01   .9999984  .0018007  .0002317
T   69  1 .1989164E+07   1000030E-02 -.2587E+00 -.1009E+01   .9999995  .0004410 -.0008900
T   70  1 .1982733E+07   1000123E-02 -.4818E+01 -.3107E+01   .9999984 -.0017081 -.0004380
T   71  1 .1985831E+07   1000052E-02  .7095E+01  .4756E+01   .9999971 -.0002165  .0024037
T   72  1 .1982113E+07   1000088E-02 -.1578E+01 -.1523E+01   .9999987 -.0008044 -.0014265
T   73  1 .1982960E+07   1000163E-02  .1788E+02  .1103E+02   .9999864  .0041323  .0031782
T   74  1 .1985497E+07   1000010E-02 -.1339E+02 -.7575E+01   .9999936 -.0031636 -.0016926
T   75  1 .1981580E+07   1000209E-02  .7782E+01  .4154E+00   .9999902  .0026476 -.0035435
T   76  1 .1976540E+07   1000091E-02  .3076E+02 -.3126E+00   .9999759  .0068708  .0009537
T   77  1 .1982026E+07   1000078E-02 -.2138E+01 -.1957E+01   .9999959 -.0025156 -.0013649
T   78  1 .1988803E+07   1000089E-02 -.4536E+00  .2443E+00   .9999996 -.0008881  .0000442
T   79  1 .1980568E+07   1000038E-02  .8273E+00  .3244E+00   .9999998 -.0001360  .0006719
T   80  1 .1980518E+07   1000058E-02  .1470E+01  .1917E+01   .9999971  .0018545  .0015485
T   81  1 .1985732E+07   1000139E-02 -.1259E+01 -.1006E+02   .9999913 -.0019938 -.0036550
T   82  1 .1982221E+07   1000110E-02 -.2047E+01  .9949E+00   .9999996 -.0006470 -.0005492
