============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> PMMA(  10 um) ===============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .1832555E+07   1000006E-01 -.6189E+03  .1806E+03   .9997339 -.0226371 -.0044340
T    2  1 .1831236E+07   1000019E-01 -.2344E+03 -.1709E+03   .9999708 -.0047812 -.0059554
T    3  1 .1864743E+07   1000001E-01  .4712E+03 -.3877E+03   .9997186  .0233745 -.0040420
T    4  1 .1846494E+07   1000016E-01  .1682E+03  .7145E+02   .9998737  .0154234  .0038248
T    5  1 .1843355E+07   1000010E-01 -.4916E+01 -.5093E+00   .9999893 -.0010205 -.0045065
T    6  1 .1843112E+07   1000003E-01 -.3656E+00 -.1449E+03   .9999878  .0023405 -.0043413
T    7  1 .1854963E+07   1000021E-01  .1191E+03  .6495E+03   .9999623  .0047873  .0072494
T    8  1 .1839352E+07   1000005E-01 -.1534E+03  .2317E+03   .9999882 -.0020657  .0043887
T    9  1 .1851615E+07   1000002E-01  .1407E+03  .4188E+03   .9999862  .0034822  .0039429
T   10  1 .1847558E+07   1000019E-01  .6254E+03 -.2304E+03   .9996901  .0225537 -.0105348
T   11  1 .1845348E+07   1000013E-01  .2860E+03 -.1349E+03   .9999668 -.0036528 -.0072837
T   12  1 .1858024E+07   1000001E-01  .5422E+01 -.2693E+03   .9999526 -.0095174 -.0020741
T   13  1 .1847920E+07   1000016E-01  .4459E+02  .1261E+04   .9995920  .0162827  .0234676
T   14  1 .1839257E+07   1000014E-01 -.1152E+03  .2328E+03   .9999295 -.0110792  .0042750
T   15  1 .1825689E+07   1000022E-01  .2549E+03 -.2567E+03   .9999706  .0069745 -.0031952
T   16  1 .1856714E+07   1000012E-01 -.3221E+03 -.2985E+03   .9999346 -.0084869 -.0076617
T   17  1 .1841780E+07   1000011E-01 -.8235E+02  .2159E+03   .9999601  .0084499 -.0029041
T   18  1 .1849507E+07   1000004E-01 -.1026E+03  .3363E+03   .9999594 -.0010035  .0089496
T   19  1 .1856485E+07   1000012E-01 -.5501E+03 -.1945E+03   .9998779 -.0156163  .0006041
T   20  1 .1839608E+07   1000003E-01  .3891E+03 -.9734E+02   .9997998  .0194469  .0047168
T   21  1 .1845824E+07   1000015E-01 -.3021E+03  .3537E+03   .9997953 -.0045589  .0197147
T   22  1 .1838368E+07   1000021E-01  .2190E+03 -.7123E+03   .9999459  .0016948 -.0102639
T   23  1 .1843577E+07   1000016E-01  .1308E+02 -.1057E+03   .9999956  .0029310  .0003550
T   24  1 .1864383E+07   1000007E-01 -.1261E+03  .4093E+03   .9999680 -.0037461  .0070631
T   25  1 .1840817E+07   1000009E-01  .4388E+03  .8048E+02   .9999777  .0064119 -.0018445
T   26  1 .1844513E+07   1000007E-01  .5836E+02 -.3506E+03   .9999530  .0088080 -.0040583
T   27  1 .1855570E+07   1000012E-01  .1727E+04 -.1107E+03   .9997366  .0229503  .0003340
T   28  1 .1845929E+07   1000019E-01 -.3786E+04 -.1043E+04   .9958228 -.0872529 -.0269042
T   29  1 .1845968E+07   1000022E-01  .1958E+03 -.1708E+03   .9999921 -.0007067 -.0039131
T   30  1 .1842299E+07   1000013E-01 -.1503E+03 -.2948E+03   .9999934 -.0027224  .0024048
T   31  1 .1845093E+07   1000017E-01  .1909E+02  .1668E+03   .9998860  .0037075  .0146358
T   32  1 .1833145E+07   1000013E-01  .5082E+03  .2742E+03   .9999803  .0031045  .0054592
T   33  1 .1849366E+07   1000010E-01 -.5275E+02 -.1470E+03   .9999962 -.0022180  .0016370
T   34  1 .1834180E+07   1000020E-01  .2897E+03 -.8492E+02   .9999873  .0049948  .0006134
T   35  1 .1853102E+07   1000021E-01 -.3164E+03 -.4297E+02   .9999774 -.0066966 -.0006080
T   36  1 .1843377E+07   1000021E-01 -.1780E+03 -.1725E+03   .9999898 -.0025417 -.0037309
T   37  1 .1852695E+07   1000019E-01 -.2149E+03  .2327E+03   .9999615  .0032855  .0081339
T   38  1 .1834511E+07   1000022E-01  .1979E+03  .3186E+03   .9999438  .0057872  .0088800
T   39  1 .1838436E+07   1000016E-01 -.5317E+02  .3822E+03   .9999985  .0012986  .0011807
T   40  1 .1833625E+07   1000013E-01  .8767E+02 -.1303E+03   .9999845 -.0055605 -.0002160
T   41  1 .1828943E+07   1000004E-01  .2095E+03  .3829E+03   .9999753 -.0048359  .0050994
T   42  1 .1831834E+07   1000015E-01  .1898E+03  .9148E+02   .9999932  .0036875  .0003054
T   43  1 .1837273E+07   1000015E-01  .2126E+03  .3810E+03   .9999701  .0024425  .0073374
T   44  1 .1853431E+07   1000013E-01  .7355E+03 -.1882E+03   .9999426  .0101351  .0034766
T   45  1 .1843736E+07   1000009E-01 -.6051E+03 -.2109E+03   .9997949 -.0181253 -.0090332
T   46  1 .1857725E+07   1000001E-01 -.3003E+03 -.1516E+03   .9999940 -.0010934 -.0032916
T   47  1 .1860957E+07   1000019E-01  .1204E+03  .3580E+03   .9999268  .0089154  .0081857
T   48  1 .1828296E+07   1000001E-01  .6074E+03 -.3633E+02   .9997625  .0210285  .0057279
T   49  1 .1847902E+07   1000015E-01 -.1878E+02  .5599E+01   .9999653  .0026631 -.0078960
T   50  1 .1849478E+07   1000021E-01 -.1792E+02  .1806E+03   .9999749  .0064197  .0029954
T   51  1 .1836436E+07   1000011E-01 -.5876E+03 -.1791E+02   .9999634 -.0084433 -.0013916
T   52  1 .1856492E+07   1000021E-01 -.5006E+02 -.1969E+03   .9999265 -.0050249 -.0110382
T   53  1 .1864160E+07   1000007E-01 -.1735E+03 -.6674E+02   .9999902 -.0044322  .0002163
T   54  1 .1858285E+07   1000007E-01 -.2338E+03 -.1527E+03   .9998759 -.0007621 -.0157372
T   55  1 .1823086E+07   1000010E-01 -.3050E+03 -.1193E+03   .9997316 -.0227747 -.0042501
T   56  1 .1846777E+07   1000003E-01  .4150E+02  .2026E+03   .9999666  .0054425  .0060922
T   57  1 .1846096E+07   1000002E-01 -.3853E+03 -.2785E+03   .9998857 -.0138124 -.0061485
T   58  1 .1852039E+07   1000018E-01 -.3227E+03 -.6150E+02   .9999608 -.0088350 -.0006478
T   59  1 .1834378E+07   1000022E-01  .1194E+03 -.2788E+02   .9999925 -.0032326  .0021392
T   60  1 .1854064E+07   1000008E-01 -.3398E+03 -.1281E+02   .9999674 -.0079294  .0015109
T   61  1 .1846931E+07   1000011E-01 -.2494E+03 -.3371E+03   .9999909  .0019192 -.0038185
T   62  1 .1832649E+07   1000003E-01 -.5248E+02 -.2965E+02   .9999779 -.0037240  .0055109
T   63  1 .1850943E+07   1000011E-01 -.4707E+03  .9294E+02   .9999686 -.0037274  .0069918
T   64  1 .1844965E+07   1000020E-01  .1835E+02 -.4699E+02   .9999807  .0024899  .0056897
T   65  1 .1830360E+07   1000015E-01 -.1991E+03 -.4390E+03   .9999806 -.0040781 -.0047164
T   66  1 .1859431E+07   1000007E-01  .3576E+03 -.5357E+02   .9999858  .0048388 -.0022270
T   67  1 .1833870E+07   1000005E-01  .1616E+03 -.1511E+03   .9999816  .0055048  .0025494
T   68  1 .1843016E+07   1000005E-01  .4643E+03 -.2738E+03   .9999639  .0066747 -.0052539
T   69  1 .1839799E+07   1000020E-01 -.1381E+03 -.1994E+03   .9999959  .0020370 -.0019903
T   70  1 .1846408E+07   1000008E-01 -.6606E+02 -.1616E+03   .9999918  .0017175 -.0036592
T   71  1 .1848583E+07   1000013E-01  .3004E+02 -.5775E+03   .9999025 -.0005299 -.0139551
T   72  1 .1840550E+07   1000015E-01 -.1299E+04  .5652E+03   .9994849 -.0281268  .0154555
T   73  1 .1860648E+07   1000017E-01  .1814E+03 -.5681E+02   .9999491  .0086319 -.0052166
T   74  1 .1846301E+07   1000000E-01  .5063E+03  .2733E+03   .9999425  .0058768  .0089649
T   75  1 .1851366E+07   1000000E-01 -.1929E+03 -.1763E+03   .9999941  .0009221 -.0032955
T   76  1 .1849608E+07   1000012E-01  .3667E+02  .2804E+03   .9999913 -.0013122  .0039545
T   77  1 .1831752E+07   1000021E-01  .3676E+02  .4895E+03   .9999762  .0028245  .0063001
T   78  1 .1852809E+07   1000005E-01 -.3260E+03 -.1680E+03   .9999237 -.0123505 -.0001776
T   79  1 .1851455E+07   1000009E-01 -.3880E+03 -.8279E+02   .9999670 -.0075536  .0030003
T   80  1 .1851116E+07   1000013E-01 -.2167E+03 -.7424E+02   .9999655 -.0074687  .0036241
T   81  1 .1838379E+07   1000015E-01 -.4835E+03  .2000E+03   .9999300 -.0105809  .0053043
