============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> PMMA(  5 um) ================================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .1922331E+07   5000046E-02 -.1304E+03  .1232E+03   .9999190 -.0110106  .0063873
T    2  1 .1933589E+07   5000022E-02 -.1119E+01 -.1869E+02   .9999979  .0008283 -.0018540
T    3  1 .1918845E+07   5000148E-02 -.7232E+02 -.8195E+02   .9999827 -.0046672 -.0035764
T    4  1 .1926103E+07   5000178E-02  .8501E+02  .1461E+03   .9999851 -.0035062  .0041936
T    5  1 .1916870E+07   5000139E-02  .7232E+01 -.4628E+01   .9999994  .0010435 -.0003074
T    6  1 .1914071E+07   5000163E-02 -.1280E+02  .8501E+02   .9999955 -.0014939  .0025834
T    7  1 .1917167E+07   5000106E-02 -.3164E+01  .1319E+02   .9999997 -.0001911 -.0006966
T    8  1 .1915600E+07   5000220E-02  .2003E+03 -.1369E+03   .9999462  .0089379 -.0052685
T    9  1 .1934242E+07   5000112E-02 -.2456E+02  .8302E+02   .9999860 -.0025843  .0046183
T   10  1 .1919297E+07   5000201E-02  .4335E+02  .4579E+02   .9999954  .0025521  .0016351
T   11  1 .1929513E+07   5000029E-02  .7534E+01 -.2504E+02   .9999947  .0007310 -.0031758
T   12  1 .1921860E+07   5000178E-02  .2537E+03 -.7090E+02   .9999325  .0093339 -.0069177
T   13  1 .1907583E+07   5000146E-02  .1018E+03  .1132E+02   .9999716  .0066274 -.0035907
T   14  1 .1926819E+07   5000017E-02 -.1917E+02  .2931E+02   .9999752  .0055162 -.0043715
T   15  1 .1929709E+07   5000058E-02  .7199E+02  .2647E+03   .9999590  .0024802  .0087044
T   16  1 .1925351E+07   5000123E-02 -.2616E+03 -.3029E+03   .9999097 -.0118708 -.0062928
T   17  1 .1927455E+07   5000040E-02  .7484E+01  .4274E+02   .9999674 -.0000598  .0080759
T   18  1 .1920019E+07   5000005E-02 -.1517E+03 -.1784E+03   .9999623 -.0072965 -.0046972
T   19  1 .1922530E+07   5000131E-02 -.4201E+02 -.5732E+02   .9999389  .0000318 -.0110538
T   20  1 .1918875E+07   5000154E-02  .4891E+03  .1164E+01   .9998561  .0169391  .0009400
T   21  1 .1915896E+07   5000209E-02 -.9114E+01 -.6489E+02   .9999990  .0012243  .0006805
T   22  1 .1917308E+07   5000217E-02 -.5949E+02  .3106E+03   .9999628 -.0025135  .0082513
T   23  1 .1930336E+07   5000165E-02  .1007E+03  .1995E+02   .9999944  .0031887 -.0010082
T   24  1 .1932302E+07   5000048E-02 -.7358E+02 -.6140E+02   .9999975 -.0006365 -.0021450
T   25  1 .1918390E+07   5000197E-02  .3153E+01 -.2341E+03   .9999603 -.0028732 -.0084375
T   26  1 .1915595E+07   5000133E-02 -.2807E+02  .4596E+02   .9999991 -.0000587 -.0013649
T   27  1 .1923178E+07   5000081E-02  .2770E+02 -.1929E+02   .9999911  .0025468 -.0033606
T   28  1 .1913879E+07   5000056E-02  .5409E+02 -.6430E+02   .9999937  .0003894 -.0035417
T   29  1 .1922354E+07   5000066E-02 -.1483E+02 -.1193E+02   .9999911  .0024354  .0034519
T   30  1 .1940455E+07   5000076E-02  .7917E+01  .6276E+02   .9999997 -.0001908  .0008019
T   31  1 .1919044E+07   5000057E-02 -.7206E+02  .1317E+03   .9998618 -.0105780  .0128273
T   32  1 .1918150E+07   5000042E-02 -.1598E+02 -.2432E+02   .9999949  .0029556  .0011777
T   33  1 .1915411E+07   5000182E-02 -.8001E+02 -.1810E+01   .9999989 -.0008447 -.0012218
T   34  1 .1926881E+07   5000202E-02  .4324E+01 -.3583E+03   .9998856 -.0004468 -.0151224
T   35  1 .1930537E+07   5000053E-02  .1179E+03  .1740E+03   .9999774  .0039373  .0054454
T   36  1 .1915296E+07   5000051E-02  .5088E+00  .9459E+01   .9999972 -.0008251  .0022259
T   37  1 .1907804E+07   5000119E-02 -.2388E+03  .1952E+03   .9999237 -.0077627  .0096092
T   38  1 .1918920E+07   5000023E-02 -.1603E+00 -.9590E+02   .9999822  .0055584 -.0021560
T   39  1 .1921391E+07   5000219E-02 -.5210E+02  .1364E+03   .9999550  .0039311  .0086343
T   40  1 .1916191E+07   5000072E-02 -.2198E+02 -.2389E+02   .9999750 -.0069969 -.0009872
T   41  1 .1932887E+07   5000137E-02  .3299E+03 -.1349E+01   .9998332  .0141605 -.0115321
T   42  1 .1924440E+07   5000187E-02  .1465E+03 -.2067E+03   .9999990 -.0013491  .0003132
T   43  1 .1922709E+07   5000005E-02 -.1547E+02  .7287E+02   .9999840 -.0002548  .0056537
T   44  1 .1910941E+07   5000195E-02 -.1377E+03  .8389E+02   .9999975 -.0018565  .0012178
T   45  1 .1934678E+07   5000186E-02  .1329E+02  .8121E+01   .9999996  .0000747  .0008507
T   46  1 .1921755E+07   5000117E-02  .1199E+03  .5496E+03   .9996821  .0071239  .0241868
T   47  1 .1925955E+07   5000186E-02  .4483E+02 -.2045E+02   .9999877  .0045706 -.0019453
T   48  1 .1922094E+07   5000153E-02 -.1827E+03  .1984E+03   .9999623 -.0017042  .0085147
T   49  1 .1930596E+07   5000009E-02  .6730E+02 -.1185E+03   .9999538  .0031567 -.0090741
T   50  1 .1929817E+07   5000112E-02  .1462E+03 -.7776E+02   .9999247  .0100349 -.0070622
T   51  1 .1928144E+07   5000070E-02 -.9832E+02 -.1002E+03   .9999374 -.0043943 -.0102939
T   52  1 .1924887E+07   5000049E-02  .1155E+03 -.1970E+03   .9999660  .0058850 -.0057678
T   53  1 .1919727E+07   5000134E-02 -.3026E+02 -.4589E+02   .9999996 -.0004972  .0006982
T   54  1 .1923250E+07   5000202E-02  .1241E+03 -.3277E+02   .9998697  .0150749 -.0057802
T   55  1 .1919678E+07   5000143E-02  .6340E+02 -.3069E+02   .9999935  .0035439 -.0006954
T   56  1 .1927377E+07   5000094E-02  .1586E+02  .1396E+02   .9999174  .0092650  .0089107
T   57  1 .1934936E+07   5000112E-02  .6001E+02 -.1066E+03   .9999721  .0027642 -.0069420
T   58  1 .1919193E+07   5000021E-02  .3109E+03 -.4847E+03   .9998594  .0113768 -.0123209
T   59  1 .1915406E+07   5000107E-02  .1531E+02 -.1386E+01   .9999962 -.0027494  .0001861
T   60  1 .1925250E+07   5000020E-02  .1493E+03 -.6023E+02   .9999119  .0098478 -.0089023
T   61  1 .1921308E+07   5000204E-02  .1678E+03 -.8733E+02   .9999739  .0058667 -.0042151
T   62  1 .1915467E+07   5000095E-02 -.5282E+02  .1135E+03   .9999842 -.0011838  .0054952
T   63  1 .1921302E+07   5000158E-02 -.6812E+00  .2348E+02   .9999984  .0017923  .0000098
T   64  1 .1924433E+07   5000028E-02 -.2697E+02  .7703E+02   .9999989 -.0003782 -.0014025
T   65  1 .1912069E+07   5000120E-02 -.1086E+03 -.5808E+02   .9999744 -.0066274 -.0026915
T   66  1 .1924820E+07   5000015E-02 -.3554E+02  .2374E+02   .9999977 -.0018711  .0010548
T   67  1 .1918613E+07   5000179E-02 -.1029E+03  .8078E+02   .9999888 -.0043880  .0017708
T   68  1 .1930211E+07   5000226E-02  .3176E+02 -.2357E+02   .9999645 -.0009316 -.0083769
T   69  1 .1919056E+07   5000171E-02 -.3858E+00 -.1185E+03   .9999634 -.0010596 -.0084883
T   70  1 .1920475E+07   5000115E-02  .1580E+03 -.1334E+03   .9999431  .0072140 -.0078629
T   71  1 .1919894E+07   5000053E-02 -.6597E+02 -.1323E+03   .9999614 -.0023826 -.0084578
T   72  1 .1930601E+07   5000167E-02  .1503E+03  .3356E+03   .9998568  .0169095  .0006038
T   73  1 .1925225E+07   5000043E-02 -.1619E+03  .6942E+02   .9999203 -.0098093  .0079515
T   74  1 .1923415E+07   5000062E-02  .2810E+01 -.1076E+02   .9999983  .0018481  .0001331
T   75  1 .1913592E+07   5000127E-02 -.9989E+02  .8376E+02   .9999753 -.0059509  .0037430
T   76  1 .1925918E+07   5000019E-02  .1051E+03  .7149E+02   .9999814  .0060848  .0003758
T   77  1 .1923757E+07   5000210E-02 -.1129E+03 -.7384E+02   .9999884 -.0042545 -.0022418
T   78  1 .1919440E+07   5000066E-02  .9105E+01  .2205E+02   .9999989 -.0011569  .0008920
T   79  1 .1933850E+07   5000046E-02 -.2025E+03 -.2666E+02   .9998981 -.0123378 -.0071837
T   80  1 .1930973E+07   5000180E-02 -.7689E+02 -.1631E+03   .9999701 -.0017841 -.0075217
T   81  1 .1919087E+07   5000055E-02  .4318E+02 -.4616E+02   .9999875  .0027181 -.0041977
T   82  1 .1925060E+07   5000149E-02  .6185E+02  .1017E+03   .9999689  .0016212  .0077239
