============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> DLC+Au+Cr+Silicon(  730 A) ==================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .1997134E+07   7307493E-04  .9923E+00 -.6433E+00   .9999981  .0015748 -.0011262
T    2  1 .1996793E+07   7322808E-04 -.7355E+00 -.5488E+00   .9999934 -.0033557 -.0014037
T    3  1 .1996177E+07   7310506E-04 -.1709E+01 -.2070E+01   .9999867 -.0032649 -.0039970
T    4  1 .1996490E+07   7316318E-04 -.1547E+01 -.2145E+01   .9999986 -.0006258  .0015319
T    5  1 .1996369E+07   7321091E-04  .1116E+01 -.4257E+00   .9999974  .0022672  .0000882
T    6  1 .1997294E+07   7324102E-04  .3392E+00 -.2733E+00   .9999998  .0004625  .0004598
T    7  1 .1997899E+07   7316728E-04  .4349E+00  .1029E+01   .9999968  .0003126  .0025092
T    8  1 .1998057E+07   7315442E-04 -.7167E+00  .2082E+00   .9999990 -.0013834  .0000719
T    9  1 .1997610E+07   7314004E-04  .1831E+01  .8763E+00   .9999938  .0033625  .0010779
T   10  1 .1996554E+07   7316832E-04 -.2280E+01  .1123E+01   .9999905 -.0039080  .0019419
T   11  1 .1997079E+07   7319573E-04 -.1048E+01  .6940E+00   .9999997 -.0001537  .0007703
T   12  1 .1997107E+07   7326482E-04  .4873E+00 -.3982E+00   .9999986  .0014808  .0007841
T   13  1 .1996465E+07   7300202E-04  .9105E+00 -.3512E+00   .9999993  .0001965 -.0012056
T   14  1 .1998081E+07   7309810E-04 -.4573E+00 -.7299E+00   .9999986 -.0011160 -.0012635
T   15  1 .1996771E+07   7319566E-04  .9959E+01  .5979E+01   .9995653  .0244479  .0164806
T   16  1 .1997529E+07   7311553E-04 -.1705E+01 -.5228E-01   .9999919 -.0039916 -.0004373
T   17  1 .1997076E+07   7313742E-04  .1552E+01  .1172E+01   .9999939  .0029522  .0018609
T   18  1 .1997043E+07   7308687E-04 -.1403E+01 -.7177E+00   .9999925 -.0035495 -.0015271
T   19  1 .1997257E+07   7316264E-04 -.2146E+01 -.1213E+01   .9999770 -.0062469 -.0026330
T   20  1 .1996375E+07   7319762E-04  .5918E+00  .2894E-02   .9999971  .0023408  .0005596
T   21  1 .1996538E+07   7303625E-04  .7224E+00  .1924E+00   .9999989  .0012300  .0008438
T   22  1 .1996749E+07   7324340E-04  .6825E+00  .1267E+00   .9999990  .0013241  .0004952
T   23  1 .1997747E+07   7325514E-04  .8911E+00 -.6162E+00   .9999970  .0014903 -.0019202
T   24  1 .1997267E+07   7308069E-04  .7667E-01 -.1149E+01   .9999990  .0008770 -.0010796
T   25  1 .1998011E+07   7317396E-04 -.1918E+00 -.9151E+00   .9999984 -.0013743 -.0011836
T   26  1 .1997313E+07   7310057E-04  .2672E+00  .2259E+00   .9999996  .0008913  .0001133
T   27  1 .1997461E+07   7322783E-04 -.1513E+01  .6631E-01   .9999963 -.0026493 -.0005393
T   28  1 .1997601E+07   7314030E-04  .7185E+00 -.4119E+00   .9999984  .0014956 -.0009525
T   29  1 .1997237E+07   7321685E-04  .5051E+00  .1446E+00   .9999996  .0006461  .0006263
T   30  1 .1997380E+07   7319786E-04 -.1994E+00 -.9917E+00   .9999983 -.0004890 -.0017573
T   31  1 .1996046E+07   7308419E-04 -.5196E+00 -.4473E+00   .9999998  .0000214 -.0006703
T   32  1 .1997589E+07   7302634E-04  .1102E+02  .4142E+01   .9997812  .0197364  .0069276
T   33  1 .1997479E+07   7315776E-04 -.6251E+00 -.5265E+00   .9999991 -.0009634 -.0009727
T   34  1 .1997719E+07   7322830E-04 -.6448E+00  .4474E+00   .9999988 -.0014320  .0005219
T   35  1 .1998161E+07   7318759E-04 -.1125E+01 -.8430E+00   .9999994 -.0009037 -.0006154
T   36  1 .1996585E+07   7310790E-04 -.3750E+01  .1652E+01   .9999690 -.0069515  .0036998
T   37  1 .1996497E+07   7320997E-04  .8038E-01  .2894E+01   .9999788  .0004989  .0064976
T   38  1 .1996015E+07   7303052E-04  .3836E+00 -.1512E+00   .9999971  .0022283 -.0008671
T   39  1 .1998765E+07   7305779E-04 -.9933E+00 -.1139E+01   .9999958 -.0016435 -.0024017
T   40  1 .1998277E+07   7310029E-04  .8807E+00  .1040E+01   .9999980  .0017431  .0009768
T   41  1 .1998207E+07   7301148E-04  .1244E+01 -.3478E+01   .9999777  .0021669 -.0063196
T   42  1 .1997626E+07   7318252E-04 -.1212E+01 -.3591E+00   .9999976 -.0021730 -.0000711
T   43  1 .1997952E+07   7300850E-04  .9545E+00 -.3729E+00   .9999995  .0008205 -.0005153
T   44  1 .1997132E+07   7310584E-04  .2519E+00  .1244E+00   .9999997  .0006340 -.0004435
T   45  1 .1998457E+07   7306126E-04  .5949E+00  .5222E+00   .9999984  .0006563  .0016512
T   46  1 .1996109E+07   7307995E-04 -.3641E+00  .5402E+00   .9999980 -.0012330  .0016032
T   47  1 .1996815E+07   7318499E-04  .2389E+00 -.1430E+01   .9999954  .0001831 -.0030410
T   48  1 .1997349E+07   7322473E-04  .7136E-01 -.8654E+00   .9999988 -.0007394 -.0013433
T   49  1 .1997201E+07   7315083E-04 -.7322E+00  .4647E-01   .9999991 -.0013383  .0001842
T   50  1 .1997159E+07   7306879E-04  .3557E+01 -.6538E+00   .9999752  .0070272 -.0005049
T   51  1 .1998279E+07   7317045E-04  .8185E+00  .5817E+00   .9999990  .0013740  .0003402
T   52  1 .1997196E+07   7312175E-04 -.4124E+00  .8882E+00   .9999978 -.0015914  .0013568
T   53  1 .1996875E+07   7319921E-04 -.4935E+00  .8020E+00   .9999987  .0012295  .0010581
T   54  1 .1998344E+07   7304010E-04  .2340E+00 -.2937E+00   .9999999 -.0000025  .0003876
T   55  1 .1997613E+07   7314196E-04  .3771E+01  .1140E+01   .9999646  .0080940  .0022933
T   56  1 .1997345E+07   7309720E-04  .2152E+01 -.1009E+01   .9999924  .0038098 -.0008447
T   57  1 .1997410E+07   7319443E-04  .3346E+02  .3239E+02   .9968077  .0575609  .0553276
T   58  1 .1995385E+07   7307336E-04  .1985E+00  .6734E-01   .9999999  .0001967 -.0002294
T   59  1 .1996693E+07   7318516E-04 -.3120E+01  .1974E+00   .9999889 -.0046555  .0007353
T   60  1 .1997716E+07   7313904E-04 -.1168E+01 -.3720E+00   .9999970 -.0023749 -.0005777
T   61  1 .1998130E+07   7307801E-04  .9413E+00  .1904E+01   .9999848  .0021396  .0050913
T   62  1 .1996847E+07   7326669E-04 -.3745E+02  .3198E+02   .9961581 -.0665855  .0568799
T   63  1 .1998532E+07   7306485E-04 -.1385E+01  .9128E-01   .9999933 -.0036625 -.0002287
T   64  1 .1997469E+07   7306108E-04  .7202E+00 -.4338E+00   .9999983  .0017107 -.0006337
T   65  1 .1996474E+07   7314888E-04 -.5243E+01 -.1679E+01   .9999581 -.0030184 -.0086427
T   66  1 .1996018E+07   7319683E-04 -.3267E+00  .2250E+00   .9999992 -.0011399  .0004617
T   67  1 .1997527E+07   7308531E-04 -.8242E+00 -.4960E+00   .9999973 -.0020465 -.0011310
T   68  1 .1995863E+07   7302826E-04 -.9824E+00  .1196E+01   .9999900 -.0026284  .0036294
T   69  1 .1998018E+07   7327109E-04 -.6203E+00 -.1042E+01   .9999972 -.0016217 -.0017243
T   70  1 .1997820E+07   7311842E-04 -.3975E+00 -.2717E+00   .9999998 -.0002228 -.0005606
T   71  1 .1998169E+07   7302383E-04 -.4948E-01  .8031E+00   .9999980 -.0002062  .0019951
T   72  1 .1995633E+07   7301764E-04 -.4500E+00  .1072E+00   .9999985 -.0016132 -.0005942
T   73  1 .1997769E+07   7316249E-04  .6330E-01 -.3288E+00   .9999997  .0002818 -.0007430
T   74  1 .1995843E+07   7301360E-04  .8244E+00 -.9018E+00   .9999970  .0011324 -.0021933
T   75  1 .1997198E+07   7300119E-04  .1467E+01  .3635E+00   .9999865  .0048215  .0019319
T   76  1 .1997701E+07   7324981E-04 -.4242E+00  .4639E+00   .9999995 -.0007378  .0006095
T   77  1 .1999302E+07   7314842E-04 -.6210E+00  .5046E+00   .9999974 -.0008052  .0021286
T   78  1 .1996578E+07   7305537E-04 -.2843E+01  .7828E+00   .9999850 -.0052863  .0014280
T   79  1 .1996482E+07   7319789E-04  .2999E+00  .6770E+00   .9999992  .0008327  .0009808
T   80  1 .1996775E+07   7323524E-04  .2823E+00  .5696E+00   .9999999  .0003869  .0000778
T   81  1 .1998442E+07   7308866E-04 -.5432E+00  .1147E+01   .9999976 -.0007759  .0020416
