Energy_keV,dE_dx_Electronic,dE_dx_Nuclear,Projected_Range_um,Longitudinal_Straggling_um,Lateral_Straggling_um
10,0.472,0.008094,0.2608,0.0646,0.0681
11,0.4927,0.007568,0.2804,0.0664,0.0708
12,0.5121,0.007113,0.2995,0.068,0.0733
13,0.5305,0.006715,0.3179,0.0695,0.0757
14,0.5478,0.006365,0.3359,0.0708,0.0779
15,0.5642,0.006053,0.3534,0.072,0.0799
16,0.5797,0.005773,0.3706,0.0732,0.0819
17,0.5944,0.005521,0.3873,0.0742,0.0837
18,0.6084,0.005292,0.4038,0.0752,0.0854
20,0.6343,0.004893,0.4357,0.077,0.0886
22.5,0.6633,0.004478,0.4743,0.079,0.0922
25,0.6891,0.004134,0.5114,0.0808,0.0954
27.5,0.7119,0.003844,0.5475,0.0824,0.0984
30,0.7323,0.003595,0.5826,0.0839,0.1011
32.5,0.7504,0.00338,0.6168,0.0852,0.1037
35,0.7666,0.003191,0.6505,0.0864,0.106
37.5,0.781,0.003024,0.6835,0.0875,0.1083
40,0.7938,0.002875,0.716,0.0886,0.1104
45,0.8152,0.002621,0.7798,0.0907,0.1143
50,0.8316,0.002411,0.8423,0.0927,0.1179
55,0.8439,0.002235,0.9039,0.0944,0.1213
60,0.8526,0.002085,0.9648,0.0961,0.1244
65,0.8581,0.001955,1.03,0.0976,0.1274
70,0.8608,0.001842,1.09,0.0991,0.1303
80,0.8597,0.001653,1.21,0.1026,0.1357
90,0.8516,0.001502,1.33,0.1059,0.1409
100,0.8386,0.001378,1.45,0.1091,0.1458
110,0.8224,0.001274,1.58,0.1122,0.1507
120,0.8041,0.001186,1.7,0.1153,0.1555
130,0.7846,0.00111,1.84,0.1184,0.1602
140,0.7646,0.001044,1.97,0.1215,0.165
150,0.7447,0.0009858,2.11,0.1246,0.1698
160,0.7249,0.0009342,2.25,0.1279,0.1747
170,0.7057,0.0008881,2.4,0.1311,0.1796
180,0.6871,0.0008467,2.55,0.1344,0.1846
200,0.6521,0.0007751,2.86,0.1447,0.1949
225,0.6126,0.000702,3.27,0.16,0.2083
250,0.5776,0.0006422,3.71,0.1756,0.2225
275,0.5466,0.0005925,4.18,0.1916,0.2374
300,0.5191,0.0005503,4.67,0.208,0.2531
325,0.4946,0.0005141,5.19,0.2247,0.2696
350,0.4727,0.0004826,5.73,0.2417,0.2869
375,0.4529,0.000455,6.3,0.2591,0.305
400,0.4351,0.0004305,6.89,0.2769,0.3239
450,0.4041,0.0003892,8.14,0.3371,0.3639
500,0.378,0.0003555,9.48,0.3956,0.4068
550,0.3558,0.0003275,10.91,0.4532,0.4525
600,0.3366,0.0003038,12.43,0.5105,0.5008
650,0.3199,0.0002834,14.03,0.5678,0.5517
700,0.3052,0.0002658,15.71,0.6253,0.6049
800,0.2806,0.0002367,19.29,0.8228,0.7182
900,0.2609,0.0002137,23.17,1.01,0.8398
1000,0.245,0.0001949,27.32,1.18,0.9688
1100,0.2347,0.0001793,31.7,1.36,1.1
1200,0.2248,0.0001662,36.27,1.52,1.24
1300,0.2141,0.0001549,41.06,1.69,1.39
1400,0.2043,0.0001451,46.08,1.85,1.54
1500,0.1955,0.0001366,51.33,2.02,1.69
1600,0.1874,0.0001291,56.82,2.18,1.85
1700,0.1798,0.0001223,62.54,2.35,2.02
1800,0.1728,0.0001163,68.5,2.52,2.19
2000,0.1603,0.000106,81.12,3.14,2.55
2250,0.147,0.00009551,98.23,4.02,3.04
2500,0.1358,0.000087,116.82,4.86,3.56
2750,0.1263,0.00007994,136.87,5.69,4.12
3000,0.1181,0.000074,158.38,6.52,4.71
3250,0.1111,0.00006891,181.31,7.35,5.34
3500,0.1049,0.00006451,205.65,8.19,6
3750,0.09938,0.00006066,231.37,9.04,6.7
4000,0.0945,0.00005727,258.48,9.91,7.44
4500,0.08616,0.00005155,316.71,13.04,9.01
5000,0.07929,0.00004691,380.28,16,10.71
5500,0.07352,0.00004307,449.1,18.9,12.55
6000,0.06861,0.00003984,523.08,21.79,14.51
6500,0.06436,0.00003708,602.15,24.69,16.6
7000,0.06066,0.00003469,686.24,27.62,18.81
8000,0.05449,0.00003076,869.05,38.22,23.6
9000,0.04955,0.00002767,1070,48.15,28.87
10000,0.04551,0.00002516,1290,57.88,34.61
